Process arrival runtime priority
0 	10	25	0
1 	69 	36 	2
2 	87 	20 	0
3 	1 	16 	2
4 	46 	28 	0
5 	92 	14 	1
6 	74 	12 	1
7 	61 	28 	0
8 	89 	27 	0
9 	28 	31 	1
10 	34 	33 	2
11 	82 	13 	1
12 	93 	32 	0
13 	85 	33 	0
14 	87 	11 	1
15 	57 	35 	1
16 	2 	10 	0
17 	27 	31 	0
18 	34 	10 	0
19 	78 	18 	1


shold be in this order but need to duble check
3 	1 	16 	2
16 	2 	10 	0
0 	10	25	0
18 	34 	10 	0
7 	61 	28 	0
14 	87 	11 	1
6 	74 	12 	1
11 	82 	13 	1
5 	92 	14 	1
19 	78 	18 	1
2 	87 	20 	0
8 	89 	27 	0
4 	46 	28 	0
17 	27 	31 	0
9 	28 	31 	1
12 	93 	32 	0
10 	34 	33 	2
13 	85 	33 	0
15 	57 	35 	1
1 	69 	36 	2


Shortest remaining time
Process %d started at time %d
Process %d finished at time %d
